State,District,Latitude,Longitude,District code,Population,Male,Female,Households_with_Internet,Male_Literate,Female_Literate,Total_Power_Parity,literacy_rate,sex_ratio
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,3073,396475,325289,348,68.0,96.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,1211,226836,180530,348,62.0,95.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,5651,432335,362594,348,73.0,96.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,3109,550219,445100,348,66.0,95.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,1923,314253,242961,348,58.0,95.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,1933,435942,359355,348,65.0,96.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,1218,275220,214085,348,55.0,96.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,1948,375552,307934,348,66.0,97.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,5121,921850,788866,348,61.0,96.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,1631,293184,238587,348,69.0,95.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,4358,620525,488047,348,58.0,96.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,5135,453449,344873,348,60.0,95.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,2561,727643,468125,2035,43.0,92.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,2362,868733,597269,2215,58.0,93.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,23258,1430936,1072901,8119,68.0,92.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,1704,590961,374360,1738,47.0,91.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,4644,918507,630166,2354,52.0,89.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,6764,937669,635397,2814,52.0,88.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,3661,973486,625665,2600,59.0,91.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,1784,593544,396263,1556,58.0,92.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,6280,1125566,691068,3514,46.0,91.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,6856,1368803,928810,3998,52.0,94.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,3707,793905,589093,2370,54.0,102.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,1839,534385,324203,1516,49.0,92.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,1106,374412,244469,960,55.0,92.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,2941,762256,517934,2516,42.0,92.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,1580,461153,306875,1254,46.0,89.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,1093,439921,305135,1347,44.0,95.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,1186,305182,202088,904,51.0,90.0
